player_name,dist_al_arco,angulo_tiro,is_BigChance,is_Penalty,is_OneOnOne,threat,is_goal
Bryan Mbeumo,21.134095674998726,0.5866902683429414,0,0,0,714.0,False
Gabriel Martinelli,23.269937687926884,0.9780261789160034,0,0,0,0.0,False
Patrick Dorgu,30.79496712126837,0.8336365745753864,0,0,0,262.0,False
Matheus Cunha,21.321585306913747,0.655695626241536,0,0,0,0.0,False
Matheus Cunha,25.80716954646518,0.23464068556419415,0,0,0,0.0,False
Martin Ødegaard,22.931419493786244,0.3424372581764865,0,0,0,144.0,False
Matheus Cunha,16.567739737212193,1.3082499250547979,0,0,0,0.0,False
Bruno Fernandes,16.387800340497197,0.414506874584786,0,0,0,0.0,False
Martin Ødegaard,15.628499608087779,0.51517788110749,0,0,0,144.0,False
Ben White,25.646247288833504,0.16450765186140343,0,0,0,0.0,False
Mason Mount,18.252123164169145,0.7544003435152141,0,0,0,158.0,False
Mason Mount,19.534584715319653,0.8288490587889792,0,0,0,158.0,False
Declan Rice,22.67972662974578,0.08387356423646739,0,0,0,273.0,False
Declan Rice,23.294849216082078,0.837023982161011,0,0,0,273.0,False
Bryan Mbeumo,11.22942563090384,0.4915288283649802,0,0,0,714.0,False
Bryan Mbeumo,11.473883387938022,0.11354460487265448,0,0,0,714.0,False
Bryan Mbeumo,10.346496991735902,0.3553770181403501,0,0,0,714.0,False
Benjamin Sesko,10.881176406988361,0.29849893158617935,0,0,0,658.0,False
Amad Diallo,30.10066444449358,0.9339396384923018,0,0,0,427.0,False
Declan Rice,28.873690446494713,0.7044940642422177,0,0,0,273.0,False
Manuel Ugarte,28.00714194629648,0.12169778202309596,0,0,0,0.0,False
Matthijs de Ligt,20.530221625691233,1.0897212884342868,0,0,0,122.0,False
Matheus Cunha,6.935416353759886,0.10110337173629884,0,0,0,0.0,False
Matthijs de Ligt,17.993887851156575,1.1892579583048248,0,0,0,122.0,False
Benjamin Sesko,14.582523787054152,0.15838440628836603,0,0,0,658.0,False
Bukayo Saka,12.420144926690675,0.6483319890872604,0,0,0,762.0,False
Matthijs de Ligt,6.906518659932808,0.043450895391530395,0,0,0,122.0,False
Joël Piroe,9.266067126888302,1.0636978224025597,1,0,0,96.0,False
Joël Piroe,24.970382456021778,0.6146629519221654,0,0,0,96.0,False
Daniel James,23.5261556570554,0.24910235109274487,0,0,0,97.0,False
Gabriel Gudmundsson,22.865038814749468,0.3341980442655033,0,0,0,148.0,False
Joël Piroe,9.824968193332738,0.07130746478529064,0,0,0,96.0,False
Ao Tanaka,28.190246540248634,0.22174704311679072,0,0,0,0.0,False
Anton Stach,11.510430052782565,0.5180685284567211,0,0,0,268.0,False
Daniel James,9.1214034007931,0.26625204915092526,0,0,0,97.0,False
Pascal Struijk,7.381734213584229,0.9489720389643072,0,0,0,218.0,False
Wilfried Gnonto,23.162469643800936,0.07346064509357426,0,0,0,39.0,False
Gabriel Gudmundsson,24.716391322359332,0.9637163522161192,0,0,0,148.0,False
Wilfried Gnonto,31.133261955664075,0.8217457844164688,0,0,0,39.0,False
Idrissa Gueye,22.720035211240315,0.28555467076960855,0,0,0,0.0,False
Wilfried Gnonto,13.839797686382559,0.9807897179140213,0,0,0,39.0,False
Gabriel Gudmundsson,7.874642849044009,0.8663022625526795,0,0,0,148.0,False
James Garner,27.98928366357382,0.23804636516478214,0,0,0,207.0,False
Charly Alcaraz,21.128416883429765,1.3074500394947812,0,0,0,0.0,False
Jake O'Brien,5.3814496188294845,0.7328151017865068,0,0,0,128.0,False
Ao Tanaka,14.623952953972465,0.13029215972909305,0,0,0,0.0,False
Lukas Nmecha,18.741664813991314,0.7665324773757776,0,0,0,331.0,False
Anton Stach,25.75732905407702,0.24309542618184368,0,0,0,268.0,False
Lukas Nmecha,11.5,0.0,1,1,0,331.0,True
Jack Grealish,15.870097668256491,0.7229793534014908,0,0,0,397.0,False
Beto,10.042410069301097,0.2618852646805191,0,0,0,0.0,False
James Tarkowski,6.708203932499369,1.1071487177940904,1,0,0,265.0,False
Anton Stach,23.829603437741042,0.567051071390732,0,0,0,268.0,False
Jayden Bogle,26.461292485439937,0.5754246505352848,0,0,0,185.0,False
Anton Stach,10.610372283760832,1.1535289347226123,1,0,0,268.0,False
Lucas Paquetá,33.609076155110245,0.7496239587305809,0,0,0,0.0,True
João Pedro,3.354101966249682,0.17985349979247883,1,0,0,0.0,True
Tomás Soucek,19.144973230589798,1.1281736566182945,0,0,0,0.0,False
Liam Delap,13.50740537631118,0.8011036782285875,0,0,0,311.0,False
Pedro Neto,8.982761268117951,0.8090158184023986,1,0,0,0.0,True
João Pedro,27.62263564542674,0.09426524686589043,0,0,0,0.0,False
Enzo Fernández,4.118252056394795,0.5070985043923376,1,0,0,618.0,True
Lucas Paquetá,18.20247235954501,0.016482023835001688,0,0,0,0.0,False
Jarrod Bowen,22.7477471412006,1.1878409749865966,0,0,0,685.0,False
Jarrod Bowen,18.07595087402043,1.0303768265243125,0,0,0,685.0,False
Enzo Fernández,12.872451204024822,0.16387153890082656,1,0,0,618.0,False
Moisés Caicedo,8.949860334105784,0.6904464570546919,1,0,0,0.0,True
João Pedro,9.047098982546835,0.40924589519903376,1,0,0,0.0,False
Trevoh Chalobah,4.588027898781783,0.3562196553961507,1,0,0,154.0,True
Enzo Fernández,21.16908122711045,0.6142089224414458,0,0,0,618.0,False
Callum Wilson,11.045361017187263,0.7341609959940293,0,0,0,396.0,False
Tomás Soucek,12.257650672131266,0.7218998288118448,0,0,0,0.0,False
Kyle Walker-Peters,15.026643005009465,1.3968951376570102,0,0,0,98.0,False
Estêvão,13.011533345459334,0.1310279174268939,1,0,0,0.0,False
Nayef Aguerd,9.757561170702447,0.4223866364473267,0,0,0,8.0,False
Nayef Aguerd,10.404326023342406,0.6146629519221655,0,0,0,8.0,False
James Ward-Prowse,23.041267326256165,0.49276559050784496,0,0,0,6.0,False
Maximilian Kilman,5.531726674375736,0.7086262721276702,1,0,0,60.0,False
Pedro Neto,25.645272468819662,0.9070171866587949,0,0,0,0.0,False
Pedro Porro,27.79370432310166,0.7675883418326999,0,0,0,0.0,False
Pedro Porro,24.070936832620376,0.8765899654416448,0,0,0,0.0,False
Omar Marmoush,22.065584062063714,1.3885107280280429,0,0,0,227.0,False
Omar Marmoush,29.415982050579245,0.7902058186641394,0,0,0,227.0,False
Tijjani Reijnders,19.30802941783547,0.22990442813190465,0,0,0,394.0,False
Omar Marmoush,12.174152947946721,0.4232284579506345,1,0,1,227.0,False
Brennan Johnson,11.641735265844174,0.24289533280760459,1,0,0,189.0,True
João Palhinha,13.674063039199432,0.5981442436639657,1,0,0,0.0,True
Nathan Aké,14.778700890132399,0.7901828158808064,0,0,0,25.0,False
Erling Haaland,5.02891638427206,0.3028848683749716,1,0,0,1217.0,False
Pape Matar Sarr,12.673200069437874,0.735161138538107,0,0,0,142.0,False
Richarlison,12.09669376317347,0.7561667260252279,0,0,0,0.0,False
Brennan Johnson,30.500000000000007,0.8248208831947746,0,0,0,189.0,False
Richarlison,13.200378782444085,0.9197196053504169,0,0,0,0.0,False
Richarlison,12.870120434556933,0.9957240370625059,0,0,0,0.0,False
Rico Lewis,24.068444071023787,0.21776763922300432,0,0,0,43.0,False
Rodri,10.96357605893259,0.6690429981905737,0,0,0,0.0,False
Phil Foden,9.10219753685889,0.6215266244966212,0,0,0,439.0,False
Phil Foden,26.517352809056934,0.3826072143578002,0,0,0,439.0,False
Wilson Odobert,14.220056258679152,0.2125668095630545,0,0,0,234.0,False
Dominic Solanke,16.302760502442524,0.7159448374021264,0,0,0,0.0,False
Wilson Odobert,12.791403363196713,0.6857295109062861,1,0,0,234.0,False
David Brooks,17.101169550647693,0.9389905911673013,0,0,0,398.0,False
Marshall Munetsi,13.407833531186169,0.39020136420675716,0,0,0,196.0,False
Marcus Tavernier,20.925104539762753,1.0451298544505851,0,0,0,432.0,True
Antoine Semenyo,3.3615472627943284,0.5302157727766298,1,0,0,854.0,False
David Brooks,27.973201461398734,0.13987481266918816,0,0,0,398.0,False
Jørgen Strand Larsen,10.112368664165675,0.04946456860159139,0,0,0,384.0,False
Jean-Ricner Bellegarde,27.50708999512671,0.7133580980106204,0,0,0,138.0,False
Jhon Arias,12.525573839150047,0.7458707397814327,0,0,0,148.0,False
Alex Scott,21.947665023869856,0.310223687421961,0,0,0,267.0,False
David Brooks,24.2695282195596,0.8992728766860345,0,0,0,398.0,False
Marcus Tavernier,19.502820308868156,0.10272986741866946,0,0,0,432.0,False
Antoine Semenyo,10.198039027185573,0.4461055489434034,1,0,0,854.0,False
Emmanuel Agbadou,22.22836026341125,0.5543074962015512,0,0,0,75.0,False
Antoine Semenyo,21.57266789249767,1.2255896645521303,0,0,0,854.0,False
Tyler Adams,23.598728779322,0.2439509142595356,0,0,0,105.0,False
