matchId,homeTeam,awayTeam,side,teamName,eventId,playerId,playerName,minute,second,x,y,period,type,outcomeType,qualifiers,length,angle,endX,endY
1903429,Man City,Nottingham Forest,home,Man City,45,355401.0,Rayan Aït-Nouri,3,2.0,35.7,89.4,FirstHalf,Pass,Successful,"Length, PassEndX, Zone, PassEndY, Angle",17.8,4.27,28.5,65.7
1903429,Man City,Nottingham Forest,home,Man City,46,374631.0,Marc Guéhi,3,9.0,32.8,55.5,FirstHalf,Pass,Successful,"Length, PassEndX, PassEndY, Zone, Angle",20.5,4.85,35.4,25.6
1903429,Man City,Nottingham Forest,home,Man City,47,313171.0,Rúben Dias,3,16.0,52.3,31.5,FirstHalf,Pass,Successful,"Angle, Zone, PassEndY, PassEndX, Length",15.1,2.07,45.4,51.0
1903429,Man City,Nottingham Forest,home,Man City,48,374631.0,Marc Guéhi,3,21.0,55.6,62.8,FirstHalf,Pass,Successful,"Zone, Length, PassEndX, Angle, PassEndY",25.1,1.21,64.1,97.3
1903429,Man City,Nottingham Forest,home,Man City,49,355401.0,Rayan Aït-Nouri,3,25.0,63.8,96.0,FirstHalf,Pass,Successful,"Length, PassEndX, PassEndY, Angle, Zone",15.6,4.29,57.7,75.1
1903429,Man City,Nottingham Forest,home,Man City,50,136741.0,Bernardo Silva,3,28.0,57.7,75.1,FirstHalf,Pass,Successful,"PassEndY, Zone, Length, PassEndX, Angle",12.1,1.22,61.7,91.8
1903429,Man City,Nottingham Forest,home,Man City,51,355401.0,Rayan Aït-Nouri,3,31.0,61.7,91.8,FirstHalf,Pass,Successful,"Length, PassEndY, Zone, Angle, PassEndX",6.4,4.02,57.8,84.6
1903429,Man City,Nottingham Forest,home,Man City,52,136741.0,Bernardo Silva,3,35.0,59.3,76.9,FirstHalf,Pass,Successful,"PassEndX, Length, Chipped, Angle, PassEndY, Zone",31.6,4.57,54.9,30.9
1903429,Man City,Nottingham Forest,home,Man City,53,313171.0,Rúben Dias,3,38.0,57.1,30.4,FirstHalf,Pass,Successful,"PassEndX, Angle, PassEndY, Zone, Length",9.2,0.64,64.1,38.5
1903429,Man City,Nottingham Forest,home,Man City,54,386153.0,Rayan Cherki,3,39.0,64.1,38.5,FirstHalf,Pass,Successful,"PassEndY, Zone, PassEndX, Angle, Length",7.3,5.72,70.0,32.8
1903429,Man City,Nottingham Forest,home,Man City,55,331254.0,Phil Foden,3,41.0,70.0,32.8,FirstHalf,BallTouch,Unsuccessful,Zone,,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,21,315543.0,Ola Aina,3,43.0,23.3,78.3,FirstHalf,Pass,Successful,"PassEndX, Length, Zone, PassEndY, Angle",14.3,0.38,35.9,86.1
1903429,Man City,Nottingham Forest,away,Nottingham Forest,22,402596.0,Elliot Anderson,3,44.0,35.9,86.1,FirstHalf,BallRecovery,Successful,,,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,23,402596.0,Elliot Anderson,3,45.0,36.9,82.6,FirstHalf,TakeOn,Unsuccessful,"OppositeRelatedEvent, Offensive, Zone",,,,
1903429,Man City,Nottingham Forest,home,Man City,56,386153.0,Rayan Cherki,3,45.0,63.1,17.4,FirstHalf,Tackle,Successful,"OppositeRelatedEvent, Defensive, Zone, StandingSave",,,,
1903429,Man City,Nottingham Forest,home,Man City,57,331254.0,Phil Foden,3,48.0,62.3,19.6,FirstHalf,BallRecovery,Successful,,,,,
1903429,Man City,Nottingham Forest,home,Man City,58,331254.0,Phil Foden,3,48.0,61.1,21.3,FirstHalf,Pass,Successful,"Angle, PassEndY, Zone, Length, PassEndX",5.0,2.17,58.4,27.4
1903429,Man City,Nottingham Forest,home,Man City,59,386153.0,Rayan Cherki,3,49.0,58.4,34.8,FirstHalf,Pass,Successful,"PassEndY, Angle, Zone, PassEndX, Length",26.7,1.78,53.1,73.2
1903429,Man City,Nottingham Forest,home,Man City,60,355401.0,Rayan Aït-Nouri,3,55.0,61.8,85.5,FirstHalf,Pass,Successful,"Zone, Angle, PassEndX, Length, PassEndY",13.8,3.88,52.1,71.8
1903429,Man City,Nottingham Forest,home,Man City,61,374631.0,Marc Guéhi,4,1.0,59.2,59.4,FirstHalf,Pass,Successful,"Zone, PassEndY, Angle, PassEndX, Length",15.5,5.12,65.0,38.4
1903429,Man City,Nottingham Forest,home,Man City,62,331254.0,Phil Foden,4,5.0,74.1,38.5,FirstHalf,Pass,Successful,"PassEndX, Angle, Length, PassEndY, Zone",23.2,5.65,91.9,18.4
1903429,Man City,Nottingham Forest,home,Man City,63,394933.0,Matheus Nunes,4,7.0,91.9,18.4,FirstHalf,Pass,Unsuccessful,"OppositeRelatedEvent, PassEndX, Length, Zone, PassEndY, RightFoot, Cross, Angle, Chipped",26.5,1.54,92.8,57.4
1903429,Man City,Nottingham Forest,away,Nottingham Forest,24,78386.0,Matz Sels,4,11.0,7.2,42.6,FirstHalf,Claim,Successful,"OppositeRelatedEvent, HighClaim, Zone",,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,26,78386.0,Matz Sels,4,19.0,11.1,49.5,FirstHalf,Pass,Successful,"PassEndX, Length, Longball, PassEndY, Angle, Zone",37.4,5.39,33.4,6.6
1903429,Man City,Nottingham Forest,away,Nottingham Forest,27,386969.0,Neco Williams,4,23.0,34.5,6.6,FirstHalf,Pass,Successful,"PassEndX, Length, Angle, PassEndY, Zone",20.8,2.91,15.2,13.5
1903429,Man City,Nottingham Forest,away,Nottingham Forest,28,443545.0,Jair Cunha,4,26.0,15.2,13.5,FirstHalf,Pass,Successful,"Zone, PassEndY, Angle, Length, PassEndX",13.2,2.06,9.3,30.6
1903429,Man City,Nottingham Forest,away,Nottingham Forest,29,319785.0,Nikola Milenkovic,4,28.0,9.3,32.3,FirstHalf,Pass,Unsuccessful,"PassEndY, Zone, Longball, Angle, Chipped, Length, PassEndX",67.3,0.77,55.1,100.0
1903429,Man City,Nottingham Forest,home,Man City,65,394933.0,Matheus Nunes,4,36.0,52.1,0.0,FirstHalf,Pass,Successful,"Length, PassEndY, Zone, Angle, ThrowIn, PassEndX",5.7,1.21,54.0,6.4
1903429,Man City,Nottingham Forest,home,Man City,66,331254.0,Phil Foden,4,36.0,54.0,6.4,FirstHalf,Pass,Successful,"Zone, PassEndX, Length, Angle, PassEndY",13.0,3.34,41.9,2.7
1903429,Man City,Nottingham Forest,home,Man City,67,394933.0,Matheus Nunes,4,39.0,43.8,4.4,FirstHalf,TakeOn,Unsuccessful,"OppositeRelatedEvent, Offensive, Zone",,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,31,402596.0,Elliot Anderson,4,39.0,56.2,95.6,FirstHalf,Tackle,Successful,"StandingSave, Zone, OppositeRelatedEvent, Defensive",,,,
